aaaa-mm,tipo_operacion,cantidad_buques,peso_total
2015-04,Repairs,405,4091.99
2003-03,Repairs,753,4406.29
2017-05,Others,7181,115826.34
1997-10,Others,6033,18530
2021-07,Bunkers,3294,173359.256
2009-10,Bunkers,2835,107613.86
2000-03,Cargo,4706,42821
2020-10,Cargo,3594,98326.611
2001-11,Cargo,4477,43519
1993-08,Bunkers,1820,32287.06
2013-11,Bunkers,3147,139954.67
2003-11,Repairs,615,3324.56
2003-02,Cargo,3549,39679.4
2008-08,Others,5798,45295.03
2010-01,Supplies,1835,48239.69
1997-04,Others,5427,15757
2017-08,Others,7193,113965.91
1997-02,Supplies,1350,17122
2021-09,Repairs,99,1123.298
2006-02,Bunkers,1995,62769.25
2004-09,Repairs,509,2943.94
1993-11,Repairs,355,3942.4
2009-06,Supplies,1765,47021.67
1996-10,Repairs,423,2997.05
2012-06,Repairs,529,3623.46
1993-04,Supplies,1149,15836.58
2008-04,Bunkers,2765,98061.64
2009-02,Bunkers,2503,90336.54
1998-04,Others,6195,16966
1993-09,Repairs,384,4222.8
2011-01,Cargo,4461,80142.42
2008-12,Cargo,4598,70618.97
2020-03,Supplies,2707,110796
1997-09,Bunkers,1782,37984
2010-03,Supplies,1901,53144.67
2011-08,Others,5511,60193.31
2010-08,Cargo,4484,80409.58
2002-09,Others,7430,18262.18
2015-09,Others,6432,98264.8
2015-03,Cargo,4208,92661.57
2019-08,Supplies,2403,94489.62
1998-09,Cargo,4842,40972
2004-09,Others,6081,21345.46
2002-07,Supplies,1392,26001.4
2018-06,Bunkers,3130,155253.19
2015-03,Bunkers,3295,144961.7
2008-11,Bunkers,2626,91768.05
2005-05,Cargo,4677,55118.65
2020-05,Bunkers,3255,164809.318
2006-02,Others,5275,21919.05
2020-08,Bunkers,3403,177894.742
2000-09,Others,7534,22895
2009-02,Cargo,4055,61538.35
2014-12,Cargo,4200,91694.83
1994-02,Repairs,339,2346.01
2020-02,Cargo,3593,89741
2015-11,Others,6677,108351.89
2005-10,Supplies,1407,30937.73
2019-10,Cargo,3950,101627.57
2008-12,Repairs,548,3369.33
2010-10,Others,5337,55309.84
2021-08,Cargo,3444,87735.619
2018-08,Supplies,2300,87991.59
2004-05,Others,6068,19125.23
2004-12,Cargo,4715,53010.97
2016-03,Repairs,314,2498.1
2001-10,Cargo,4753,45310
2013-03,Supplies,2069,73972.29
2021-03,Supplies,2521,107400.449
2006-07,Repairs,541,3043.93
2002-07,Bunkers,1769,51026.24
1996-08,Others,7247,2276.47
2019-06,Others,7316,121142.035
2009-12,Supplies,1743,50290.26
1998-05,Cargo,4763,41757
2001-05,Supplies,1214,23169
2016-02,Supplies,2535,88132.13
2020-04,Bunkers,3202,167509.282
1996-04,Bunkers,1689,37426.09
2011-12,Cargo,4278,80721.33
1996-01,Bunkers,1817,37612.31
2007-05,Cargo,4534,64265.94
1995-01,Cargo,3988,33243.07
2005-09,Supplies,1244,26424.47
2000-03,Others,7823,19529
1994-09,Others,6131,1897.51
2012-08,Supplies,1984,68537.51
1998-06,Bunkers,1721,40576
1993-07,Repairs,379,3457.25
2002-11,Repairs,673,2923.07
2000-05,Cargo,4630,44487
2006-08,Supplies,1532,34350.11
2008-03,Supplies,1680,43594.91
2010-07,Others,5421,51384.62
2005-04,Supplies,1284,25535.75
2020-11,Bunkers,3359,180218.277
2011-03,Others,5676,62283.42
2007-01,Others,5575,25403.92
2008-03,Cargo,4756,72420.66
2010-06,Repairs,686,3271.23
2000-02,Bunkers,1620,41422
1993-01,Repairs,293,2780.47
2001-06,Supplies,1202,23486
1999-12,Supplies,1370,22032
1996-05,Bunkers,1797,38558.13
2021-02,Cargo,3281,88961.575
2002-10,Cargo,4523,44631.57
2006-08,Repairs,587,4469.15
2001-12,Bunkers,1822,50516
2016-06,Bunkers,3516,155490.92
2004-10,Supplies,1280,26694.03
2020-11,Others,2478,82403.386
2021-09,Others,1948,54358.043
2019-05,Supplies,2404,95666.196
2015-03,Others,6512,104470.67
